Order Date,Order ID,ASIN,Qty,Item Price,Shipping,Promotion
2026-08-23,114-10001-10001,B0G3VV8K2Q,16,1350.00,95.00,-75.00
2026-08-22,114-10002-10002,B0G3VV8K2Q,14,1290.00,88.48,-35.00
2026-08-21,114-10003-10003,B0FVXV9M1A,21,1090.00,75.22,-40.00
2026-08-20,114-10004-10004,B0FVXV9M1A,22,890.00,0,-50.00
2026-08-19,114-10005-10005,B0FZ8J4L7P,19,980.00,58.19,-30.00
2026-08-18,114-10006-10006,B0FZ8J4L7P,18,730.00,30.00,-30.00
2026-08-17,114-10007-10007,B0G1PK6X8S,17,820.00,44.90,-20.00
2026-08-16,114-10008-10008,B0G1PK6X8S,16,620.00,20.00,-10.00
2026-08-15,114-10009-10009,B0FY3N2R5C,17,780.00,48.45,-20.00
2026-08-14,114-10010-10010,B0FY3N2R5C,14,540.00,0,-20.00
2026-08-13,114-10011-10011,B0G4TH7W9D,14,710.00,39.80,-20.00
2026-08-12,114-10012-10012,B0G4TH7W9D,12,480.00,0,-10.00
2026-08-11,114-10013-10013,B0G2LD5A3N,12,590.00,37.66,-15.00
2026-08-10,114-10014-10014,B0G2LD5A3N,10,375.00,0,0
2026-08-09,114-10015-10015,B0FX9Q6E4B,10,500.00,24.60,-20.00
2026-08-08,114-10016-10016,B0FX9Q6E4B,9,340.00,0,0
